Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
07/01/2013 04:31,07/01/2013 11:00,AUDUSD,Sell,0.070,0.93052,0.90852,0.91585,0.91576,0.9,0.01,00:06:28:57,6.0,23m,52.9,5.87,7.7,,-45.2,,14.6,87.1,-6.80,
06/28/2013 22:00,07/01/2013 10:28,GBPUSD,Sell,0.110,1.53033,1.51583,1.52102,1.52050,5.2,0.23,02:12:28:00,91.8,2d 7h ,28.5,1.46,11.6,,-16.9,,40.7,77.5,-6.40,
06/28/2013 15:15,06/28/2013 17:00,USDJPY,Buy,0.070,97.74900,99.59900,98.94400,99.06500,12.1,0.38,00:01:45:00,60.0,1h 3m,18.2,0.74,12.1,,-8.9,,57.6,100.0,0.00,
06/28/2013 05:30,06/28/2013 09:51,GBPUSD,Sell,0.110,1.52973,1.51773,1.52679,1.52539,14.0,0.70,00:04:20:57,57.4,2h 29m,15.3,0.44,19.7,,-8.6,,69.6,79.9,-5.70,
06/27/2013 20:48,06/28/2013 02:16,GBPUSD,Sell,0.110,1.53485,1.52035,1.52541,1.52551,-1.0,-0.10,00:05:28:02,25.4,1h 23m,24.9,0.67,14.9,,-10.0,,59.8,36.1,-15.90,
06/27/2013 05:15,06/27/2013 10:08,GBPUSD,Sell,0.100,1.53634,1.52434,1.53337,1.53222,11.5,0.52,00:04:52:58,30.2,1h 28m,12.5,0.73,14.6,,-10.7,,57.7,87.7,-3.10,
06/27/2013 05:09,06/27/2013 09:01,GBPUSD,Sell,0.110,1.54263,1.52813,1.53318,1.53322,-0.4,-0.06,00:03:51:57,5.2,12m,14.5,4.67,2.7,,-12.6,,17.6,79.7,-3.10,
06/26/2013 20:45,06/26/2013 21:29,EURUSD,Sell,0.110,1.30056,1.29764,1.30076,1.30059,1.7,0.05,00:00:44:40,100.0,44m,12.0,0.07,13.7,,0.0,,100.0,12.4,-12.00,
06/26/2013 20:45,06/26/2013 21:15,EURUSD,Sell,0.110,1.30394,1.29764,1.30076,1.29985,9.1,0.45,00:00:30:00,100.0,30m,4.6,0.07,13.7,,0.0,,100.0,66.4,-4.60,
06/24/2013 15:35,06/25/2013 14:33,GBPUSD,Sell,0.110,1.54722,1.53272,1.53775,1.54724,-94.9,-4.79,00:22:58:44,0.0,0s,94.9,95.24,0.0,,-94.9,,0.0,0.0,-94.90,
06/24/2013 10:30,06/24/2013 14:45,USDJPY,Buy,0.070,97.10200,98.95200,98.30100,98.25500,-4.6,-0.17,00:04:15:00,24.4,1h 2m,64.6,6.88,8.2,,-56.4,,12.7,80.2,-12.80,
06/24/2013 12:30,06/24/2013 13:03,EURUSD,Sell,0.110,1.31097,1.30811,1.31117,1.31098,1.9,0.06,00:00:33:00,100.0,33m,11.6,0.07,13.5,,0.0,,100.0,14.1,-11.60,
06/24/2013 04:39,06/24/2013 05:50,GBPUSD,Sell,0.110,1.54912,1.53462,1.53963,1.53764,19.9,0.97,00:01:10:57,91.6,1h 4m,6.2,0.06,23.0,,-1.3,,94.7,87.2,-3.10,
06/21/2013 20:00,06/21/2013 23:02,GBPUSD,Sell,0.110,1.55235,1.53785,1.54286,1.54238,4.8,0.21,00:03:02:00,55.5,1h 41m,26.9,2.00,11.7,,-23.4,,33.3,80.3,-6.90,
06/21/2013 20:15,06/21/2013 21:47,EURUSD,Sell,0.110,1.31468,1.31221,1.31518,1.31471,4.7,0.20,00:01:32:39,93.6,1h 26m,17.0,0.12,17.8,,-2.1,,89.4,34.2,-13.10,
06/21/2013 17:45,06/21/2013 18:21,USDJPY,Buy,0.070,96.27800,98.12800,97.48500,97.59300,10.8,0.34,00:00:36:01,46.0,16m,14.1,1.13,12.5,,-14.1,,47.0,93.6,-1.70,
06/21/2013 03:30,06/21/2013 15:34,AUDUSD,Sell,0.070,0.93638,0.91438,0.92131,0.92050,8.1,0.24,00:12:03:59,7.8,56m,53.6,3.32,12.8,,-42.5,,23.1,91.5,-4.70,
