Open Date;Close Date;Symbol;Action;Units/Lots;SL;TP;Open Price;Close Price;Pips;Gain;Duration (DD:HH:MM:SS);Profitable(%);Profitable(time duration);Drawdown;Risk:Reward;Max(pips);Max(EUR);Min(pips);Min(EUR);Entry Accuracy(%);Exit Accuracy(%);ProfitMissed(pips);ProfitMissed(EUR)
07/01/2013 04:31;07/01/2013 11:00;AUDUSD;Sell;70;93052;90852;91585;91576;9;1;00:06:28:57;60;23m;529;587;77;;-452;;146;871;-680;
06/28/2013 22:00;07/01/2013 10:28;GBPUSD;Sell;110;153033;151583;152102;152050;52;23;02:12:28:00;918;2d 7h ;285;146;116;;-169;;407;775;-640;
06/28/2013 15:15;06/28/2013 17:00;USDJPY;Buy;70;9774900;9959900;9894400;9906500;121;38;00:01:45:00;600;1h 3m;182;74;121;;-89;;576;1000;0;
06/28/2013 05:30;06/28/2013 09:51;GBPUSD;Sell;110;152973;151773;152679;152539;140;70;00:04:20:57;574;2h 29m;153;44;197;;-86;;696;799;-570;
06/27/2013 20:48;06/28/2013 02:16;GBPUSD;Sell;110;153485;152035;152541;152551;-10;-10;00:05:28:02;254;1h 23m;249;67;149;;-100;;598;361;-1590;
06/27/2013 05:15;06/27/2013 10:08;GBPUSD;Sell;100;153634;152434;153337;153222;115;52;00:04:52:58;302;1h 28m;125;73;146;;-107;;577;877;-310;
06/27/2013 05:09;06/27/2013 09:01;GBPUSD;Sell;110;154263;152813;153318;153322;-4;-6;00:03:51:57;52;12m;145;467;27;;-126;;176;797;-310;
06/26/2013 20:45;06/26/2013 21:29;EURUSD;Sell;110;130056;129764;130076;130059;17;5;00:00:44:40;1000;44m;120;7;137;;0;;1000;124;-1200;
06/26/2013 20:45;06/26/2013 21:15;EURUSD;Sell;110;130394;129764;130076;129985;91;45;00:00:30:00;1000;30m;46;7;137;;0;;1000;664;-460;
06/24/2013 15:35;06/25/2013 14:33;GBPUSD;Sell;110;154722;153272;153775;154724;-949;-479;00:22:58:44;0;0s;949;9524;0;;-949;;0;0;-9490;
06/24/2013 10:30;06/24/2013 14:45;USDJPY;Buy;70;9710200;9895200;9830100;9825500;-46;-17;00:04:15:00;244;1h 2m;646;688;82;;-564;;127;802;-1280;
06/24/2013 12:30;06/24/2013 13:03;EURUSD;Sell;110;131097;130811;131117;131098;19;6;00:00:33:00;1000;33m;116;7;135;;0;;1000;141;-1160;
06/24/2013 04:39;06/24/2013 05:50;GBPUSD;Sell;110;154912;153462;153963;153764;199;97;00:01:10:57;916;1h 4m;62;6;230;;-13;;947;872;-310;
06/21/2013 20:00;06/21/2013 23:02;GBPUSD;Sell;110;155235;153785;154286;154238;48;21;00:03:02:00;555;1h 41m;269;200;117;;-234;;333;803;-690;
06/21/2013 20:15;06/21/2013 21:47;EURUSD;Sell;110;131468;131221;131518;131471;47;20;00:01:32:39;936;1h 26m;170;12;178;;-21;;894;342;-1310;
06/21/2013 17:45;06/21/2013 18:21;USDJPY;Buy;70;9627800;9812800;9748500;9759300;108;34;00:00:36:01;460;16m;141;113;125;;-141;;470;936;-170;
06/21/2013 03:30;06/21/2013 15:34;AUDUSD;Sell;70;93638;91438;92131;92050;81;24;00:12:03:59;78;56m;536;332;128;;-425;;231;915;-470;
06/21/2013 12:45;06/21/2013 13:17;USDJPY;Buy;70;9618900;9803900;9740200;9751100;109;34;00:00:32:05;910;29m;92;59;119;;-70;;630;947;-100;
06/20/2013 23:35;06/21/2013 04:18;GBPUSD;Sell;110;155881;154431;154936;154974;-38;-24;00:04:43:02;39;11m;269;868;31;;-269;;103;770;-690;
06/20/2013 21:33;06/21/2013 04:15;USDJPY;Buy;70;9642600;9827600;9762100;9724200;-379;-126;00:06:42:00;0;0s;755;7576;0;;-755;;0;498;-3790;
06/20/2013 23:30;06/21/2013 02:03;GBPUSD;Sell;110;155192;153992;154912;155193;-281;-143;00:02:33:24;20;3m;304;1222;23;;-281;;76;0;-3040;
06/21/2013 01:30;06/21/2013 01:46;AUDUSD;Sell;60;93598;91398;92105;91978;127;32;00:00:16:00;1000;16m;50;6;177;;0;;1000;718;-500;
06/20/2013 19:30;06/20/2013 20:51;EURUSD;Sell;120;132279;131995;132299;132280;19;6;00:01:21:11;659;53m;154;50;149;;-75;;665;420;-1300;
06/20/2013 12:01;06/20/2013 12:39;GBPUSD;Sell;120;155085;153885;154792;154677;115;59;00:00:37:59;1000;37m;130;5;204;;0;;1000;564;-890;
06/20/2013 10:15;06/20/2013 10:22;GBPUSD;Sell;110;155549;154099;154619;154483;136;65;00:00:07:00;1000;7m;40;6;176;;0;;1000;773;-400;
06/20/2013 10:15;06/20/2013 10:22;GBPUSD;Sell;110;154899;153699;154619;154483;136;65;00:00:07:00;1000;7m;40;6;176;;0;;1000;773;-400;
06/20/2013 03:45;06/20/2013 04:15;EURUSD;Sell;110;132940;132676;132990;132755;235;116;00:00:30:00;1000;30m;75;3;310;;0;;1000;758;-750;
06/20/2013 03:30;06/20/2013 04:13;AUDUSD;Sell;70;94565;92365;93058;92932;126;39;00:00:43:01;841;36m;67;25;193;;-49;;798;723;-670;
06/19/2013 06:00;06/19/2013 07:33;USDJPY;Buy;70;9406100;9591100;9526900;9539000;121;39;00:01:33:00;323;30m;100;53;143;;-76;;653;900;-220;
