Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
12/20/2023 22:16,12/21/2023 09:22,EURCAD,Sell,0.07,1.46119,1.46119,-0.35,0.1,0,-0.25,-0.02,00:11:06:00,2.3,15m,20.9,4.23,4,0,-16.9,0,19.1,80.9,-4,0
12/20/2023 23:22,12/21/2023 08:27,USDJPY,Buy,0.07,143.598,143.102,-0.32,2.9,-49.6,-19.58,-1.46,00:09:05:17,3.4,18m,83.1,19.31,4.1,1.845,-79,-35.55,4.9,35.4,-53.7,-24.17
12/20/2023 21:43,12/21/2023 01:49,EURAUD,Sell,0.1,1.62173,1.62443,-0.5,-1.51,-27,-18.63,-1.37,00:04:05:48,0.5,1m,46,26.11,1.7,1.054,-44.3,-27.466,3.7,37.6,-28.7,-17.79
12/20/2023 22:48,12/21/2023 01:46,AUDUSD,Buy,0.08,0.67344,0.67368,-0.25,-1.8,2.4,-0.29,-0.02,00:02:58:05,16.3,29m,12.6,4.07,3.1,2.263,-12.6,-9.198,19.7,95.5,-0.7,-0.51
12/20/2023 22:51,12/21/2023 01:00,EURUSD,Buy,0.09,1.09398,1.0944,-0.45,-3.01,4.2,-0.01,0,00:02:09:08,45,58m,9.8,1.88,5.2,4.264,-9.8,-8.036,34.7,93.3,-1,-0.82
12/18/2023 23:23,12/20/2023 09:00,GBPCAD,Sell,0.07,1.69472,1.69309,-0.41,-0.44,16.3,6.95,0.52,01:09:36:32,10.2,3h 25m,126.9,3.12,32.4,15.552,-101.2,-48.576,24.3,87.9,-16.1,-7.73
12/19/2023 22:10,12/20/2023 01:40,EURGBP,Sell,0.08,0.86289,0.86256,-0.4,0.06,3.3,2.72,0.2,00:03:30:01,89.6,3h 8m,9.1,0.21,9.8,9.114,-2.1,-1.953,82.4,45.4,-6.5,-6.05
12/14/2023 23:00,12/15/2023 02:39,GBPCHF,Sell,0.08,1.10697,1.10683,-0.46,-1.09,1.4,-0.38,-0.03,00:03:39:45,46.2,1h 41m,37.5,0.22,30.7,25.788,-6.8,-5.712,81.9,21.9,-29.3,-24.61
12/14/2023 22:48,12/14/2023 23:14,EURCAD,Buy,0.07,1.47338,1.47354,-0.35,0,1.6,0.41,0.03,00:00:26:52,23.1,6m,5.4,2.26,1.9,0.912,-4.3,-2.064,30.6,95.2,-0.3,-0.14
12/13/2023 21:15,12/14/2023 00:46,EURAUD,Buy,0.11,1.6342,1.63414,-0.55,-0.89,-0.6,-1.84,-0.14,00:03:31:14,8.6,18m,49.6,3.43,11.2,7.504,-38.4,-25.728,22.6,76.2,-11.8,-7.91
